description,directors,last_updated,link,name,number,prereq,website
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498DV1,Special Topics,CS 498 DV1,,https://courses.grainger.illinois.edu/cs498dv1/fa2021/index.html
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498DSU,Special Topics,CS 498 DSU,,https://courses.grainger.illinois.edu/ece498dsu/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498DSO,Special Topics,CS 498 DSO,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498DSG,Special Topics,CS 498 DSG,,https://courses.grainger.illinois.edu/ece498dsu/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498DL4,Special Topics,CS 498 DL4,,http://slazebni.cs.illinois.edu/spring21/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498DL3,Special Topics,CS 498 DL3,,http://slazebni.cs.illinois.edu/spring21/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],8/25/2015,https://cs.illinois.edu/academics/courses/CS498DL1,Special Topics,CS 498 DL1,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498DH4,Special Topics,CS 498 DH4,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498DH3,Special Topics,CS 498 DH3,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498DAF,Special Topics,CS 498 DAF,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498CL2,Special Topics,CS 498 CL2,,https://wiki.illinois.edu/wiki/display/CS498AIEDFA21
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],8/25/2015,https://cs.illinois.edu/academics/courses/CS498CL1,Special Topics,CS 498 CL1,,https://wiki.illinois.edu/wiki/display/CS498AIEDFA21
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498CCA,Special Topics,CS 498 CCA,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498CA4,Special Topics,CS 498 CA4,,https://wiki.illinois.edu/wiki/display/CS498HSSP21
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498CA3,Special Topics,CS 498 CA3,,https://wiki.illinois.edu/wiki/display/CS498HSSP21
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498AML,Special Topics,CS 498 AML,,https://courses.grainger.illinois.edu/cs498aml/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498BL1,Special Topics,CS 498 BL1,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498AM4,Special Topics,CS 498 AM4,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498AM3,Special Topics,CS 498 AM3,,
